Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
2016/3/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/12,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/14,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/1,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/20,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,45,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/14,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SANTA FE E-14,URBANA,APARTAMENTO,ARMA DE FUEGO,A PIE,A PIE,53,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,11001000,1
2016/9/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SANTA FE E-14,URBANA,HOTELES,,,,,,,,,,,,
2016/2/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/4,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/19,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA FE E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA ELENA E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,11001000,1
2016/2/13,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SANTA CECILIA I E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,11001000,1
2016/7/30,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SANTA CECILIA I E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA CECILIA I E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SANTA CECILIA I E-11,URBANA,BARES,,,,,,,,,,,,
2016/1/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SANTA CECILIA I E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/3,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SANTA CECILIA E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/26,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SANTA CECILIA E-1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/9,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SANTA CATALINA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,62,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/3,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SANTA ANITA E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SAN VICTORINO E-3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/31,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN VICENTE FERRER E-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/2,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN VICENTE FERRER E-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,55,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/3,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN VICENTE E-4,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SAN VICENTE E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN RAFAEL SUR E-19,URBANA,TIENDA,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN RAFAEL E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/5,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN RAFAEL DEL ALTO DE LA ESTANCIA E-19,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/1,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN PEDRO E-9,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,77,MASCULINO,CASADO,COLOMBIA,PENSIONADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/12,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN PEDRO E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,52,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/4,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN PEDRO E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN PEDRO E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN MIGUEL E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN MIGUEL E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN MIGUEL BAJO E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN MARTÍN DE PORRES E-2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/9,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,SAN MARTIN DE LOBA E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN LUIS E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO POLICIAL,POLICIA,TECNICO,11001000,1
2016/1/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN JUAN BAUTISTA E-5,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN JUAN BAUTISTA E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/9,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN JUAN BAUTISTA E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/2,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN JOSÉ SUR E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/12,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN JOSE SPRING E-11,URBANA,CASAS DE HABITACION,CINTAS/CINTURON,A PIE,A PIE,66,FEMENINO,UNION LIBRE,COLOMBIA,PENSIONADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN JOSE ORIENTAL E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/27,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SAN JOSÉ II SECTOR A E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,2
2016/11/4,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN JOSÉ II SECTOR A E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN JOSE DE BAVARIA E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/26,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN JORGE E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN JORGE E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/27,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN JORGE E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN JORGE E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/2,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,SAN JORGE E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,11001000,1
2016/7/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN JOAQUÍN DEL VATICANO E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,60,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/5,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN JAVIER E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN ISIDRO SUR E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/19,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN ISIDRO E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/7,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN ISIDRO E-2,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/15,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN FERNANDO E-12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN FELIPE E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN FELIPE E-12,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN EUGENIO E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN DIEGO E-3,URBANA,APARTAMENTO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,45,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,11001000,1
2016/3/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN DIEGO BOSA E-7,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN CRISTÓBAL NORTE E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN CRISTÓBAL NORTE E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN CRISTÓBAL NORTE E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,PUBLICISTA,SUPERIOR,11001000,1
2016/11/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN CRISTOBAL E-4,URBANA,VEHICULO,ARMA DE FUEGO,A PIE,PASAJERO VEHICULO,58,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN CRISTOBAL E-4,URBANA,VEHICULO,ARMA DE FUEGO,A PIE,PASAJERO VEHICULO,55,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/22,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN CRISTÓBAL E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN CRISTÓBAL E-1,URBANA,BARES,,,,,,,,,,,,
2016/5/7,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN CRISTÓBAL ALTO E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,72,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/12/13,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN CARLOS TIBABUYES E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN CARLOS PREDIO SAN JOSÉ E-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/3,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,SAN CARLOS PREDIO SAN JOSÉ E-6,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,79,MASCULINO,VIUDO,COLOMBIA,PENSIONADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/13,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN CARLOS PREDIO SAN JOSÉ E-6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN CARLOS PREDIO SAN JOSÉ E-6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,SAN CARLOS PREDIO SAN JOSÉ E-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN CARLOS E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/7/15,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,SAN BLAS E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/3/12,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,SAN BERNARDO E-3,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,50,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/3/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,SAN BERNARDO E-3,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,59,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,SAN BERNARDO E-3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
